cnpj,bairro,socio_nome
08239906000175,CIDADE DOS FUNCIONARIOS,JOSE EDNARDO ALVES FRAGA
08260687000106,CONJUNTO ESPERANCA,
08260745000100,CASTELAO,
08263807000129,ALDEOTA,
08313516000106,PARANGABA,
08325658000185,CONJUNTO ESPERANCA,
08326210000186,HENRIQUE JORGE,
08342449000140,JOAQUIM TAVORA,ANTONIA GLEICE LIMA FRANCO
08365258000101,ALDEOTA,JACINTA MATEUS DO NASCIMENTO
08381186000188,PASSARE,
08458492000175,JANGURUSSU,
08466525000129,CARLITO PAMPLONA,
08492529000181,NOSSA SENHORA DAS GRACAS,ANGELA CAROLINA DE ALMEIDA LIMA
08568777000169,EDSON QUEIROZ,
08620737000119,PARQUELANDIA,
08626495000170,SALINAS,ADRYANA DA COSTA ALEXANDRE
08626620000142,CONJUNTO CEARA II,
08636791000152,JOAO XXIII,
08709789000166,CENTRO,
08766841000116,FATIMA,JORGE ADRIANO MENDONCA SIMOES
08774741000131,VICENTE PINZON,
08786597000153,SAO JOAO DO TAUAPE,MARIA DE LOURDES LINHARES CORDEIRO
08800916000138,PARQUELANDIA,
08802876000163,JOAQUIM TAVORA,
08807602000167,MONDUBIM,
08811528000152,JARDIM CEARENSE,
08820182000159,FATIMA,
08820428000192,SAO GERARDO,SILMARA MORGANA BARBOSA ROCHA
08847021000230,CENTRO,SAMIA DE SA LEITAO FIUZA
08878578000157,VILA VELHA,
08973350000146,PADRE ANDRADE,
09048236000172,ALDEOTA,
09087034000130,PASSARE,MARIA RODRIGUES DE SOUSA ALENCAR
09127162000160,DIONISIO TORRES,
09137596000140,EDSON QUEIROZ,
09167963000159,JANGURUSSU,
09190183000120,CENTRO,
09220220000103,HENRIQUE JORGE,
09229818000155,ALDEOTA,SELMA MARIA DE ALENCAR VELOSO
09299104000113,AEROLANDIA,
09310432000254,ALDEOTA,MARCIO SILVA DE ALMEIDA
09354780000142,PASSARE,
09373936000132,ALDEOTA,SURAMA GELEILATE
09387792000173,CENTRO,
09417145000167,MESSEJANA,
09418875000182,ALDEOTA,ANTOMARIO SARAIVA DA HORA
09466136000166,VARJOTA,
09479939000155,MEIRELES,ANDREA SAMPAIO DE QUEIROZ FIUZA PEQUENO
09497618000183,HENRIQUE JORGE,
09509057000195,CIDADE DOS FUNCIONARIOS,MARCELO AUGUSTO AMARAL TARGINO
09509062000106,JOAQUIM TAVORA,
09545453000178,CENTRO,
09550432000140,CAMBEBA,
09593879000105,MANOEL SATIRO,LUIGI FRANZA
09593967000107,ALDEOTA,ANTONIO HERBERT DA SILVA RODRIGUES
09634347000160,PARQUELANDIA,CARMEN TEREZA LIMA
10158438000156,COCO,KATHIA REJANE ABADESSA DA IGREJA
10203861000120,PARANGABA,MARIA DANIELA SOARES DE MOURA
10248624000186,ALDEOTA,
10250487000114,ALDEOTA,
10296195000112,PARQUELANDIA,
10303552000122,CAMBEBA,
10315246000106,MONTESE,
10325790000139,VARJOTA,SILVIO AFONSO DE ALMEIDA FILHO
10339930000128,VILA UNIAO,
10344456000122,COACU,MARIA PEREIRA DA SILVA
10398108000138,VILA PERY,
10481653000193,COLONIA,
10482478000159,PLANALTO AYRTON SENNA,
10513085000165,MEIRELES,
10522272000105,CAJAZEIRAS,
10530988000154,PARQUELANDIA,
10536369000177,ALDEOTA,
10616516000119,BARROSO,
10634051000129,CENTRO,MARIA EMILIA DANTAS DE SOUZA
10715358000154,PARREAO,
10739106000165,DIONISIO TORRES,
10748704000109,CANINDEZINHO,
10844890000171,CONJUNTO CEARA,
10845608000170,MUCURIPE,
10857980000105,CIDADE DOS FUNCIONARIOS,
10860198000137,ALDEOTA,JOSE CARLOS JANUARIO FRANCO
10886829000197,JARDIM AMERICA,MARIA ELMA DE ARAUJO
10946687000106,ALDEOTA,
10987903000161,MEIRELES,RAFAELA MOREIRA QUINDERE
11017773000105,JOAQUIM TAVORA,ANALICE RODRIGUES DA SILVA
11107045000186,PASSARE,
11108887000152,FATIMA,
11128796000189,JOAQUIM TAVORA,
11131126000111,PLANALTO AYRTON SENNA,
11150170000179,CONJUNTO CEARA,RAFAELLE LINDA DA SILVA ALBUQUERQUE
11164722000106,BARRA DO CEARA,
11178859000101,ALDEOTA,
11206607000149,BOA VISTA CASTELAO,
11219787000101,SIQUEIRA,
11222922000160,GRANJA PORTUGAL,
11224720000157,ALDEOTA,ANTONIO DEMONTIER LINHARES CORDEIRO
11225140000184,ALDEOTA,VILMAR LINHARES CORDEIRO
11225140000265,BENFICA,VILMAR LINHARES CORDEIRO
11225140000346,ALDEOTA,VILMAR LINHARES CORDEIRO
11225386000156,DEMOCRITO ROCHA,
11230343000169,DIONSIO TORRES,ITALO GABRIEL DE MAIA E VELOSO
11230343000240,PAPICU,ITALO GABRIEL DE MAIA E VELOSO
11234540000156,SAO JOAO DO TAUAPE,
11238606000186,MARAPONGA,
11239040000107,PAUPINA,
11243593000133,QUINTINO CUNHA,
11247795000153,VARJOTA,
11248075000102,PARANGABA,
11251542000153,MESSEJANA,
11254254000152,BOM JARDIM,
